date,mean_temp,max_temp,min_temp,humidity,mean_rain_fall,mean_wind,cases
2016-12-16,28.69,34.3,24.7,75.55,0,4.16,9
2016-12-17,27.34,31.9,23.4,83.67,8,4.51,11
2016-12-18,26.86,32.6,22.7,81.61,12,4.66,7
2016-12-19,28.08,33.4,24.2,77.74,2,5.63,15
2016-12-20,28.25,34.1,24.4,73.51,0,6.48,11
2016-12-21,28.66,34.9,24.4,71.77,0,5.53,12
2016-12-22,26.94,33.4,22.7,83.33,16,4.08,11
2016-12-23,27.2,32.5,22.8,83.13,18,3.97,11
2016-12-24,26.79,33.6,23.2,84.95,24,4.72,5
2016-12-25,26.97,33.8,23,82.93,10,5.03,6
2016-12-26,26.91,31.9,23.7,80.91,0,5.31,4
2016-12-27,26.44,30.9,23.9,82.6,4,5.23,16
2016-12-28,25.77,28.7,23.1,84.09,2,5.27,10
2016-12-29,27.67,32.5,23.9,74.54,0,4.71,7
2016-12-30,27.13,35,23.9,78.16,4,5.36,14
2016-12-31,26.92,31.1,23.9,81.75,0,4.14,7
2017-01-01,27.17,32.4,23.8,84.79,10,4.82,5
2017-01-02,26.54,31.4,24,88.48,8,3.69,12
2017-01-03,26.77,31.4,24.1,85.7,2,4.06,5
2017-01-04,27.11,31.8,23.3,79.48,2,4.75,12
2017-01-05,28.01,33.7,23,72.92,2,4.29,4
2017-01-06,28.68,34.5,24.9,75.67,0,3.97,8
2017-01-07,29.48,35.2,25.1,71.86,0,4.04,12
2017-01-08,29.5,35.6,25,72.67,0,4.18,8
2017-01-09,28.97,35.5,25.4,77.31,0,5.08,1
2017-01-10,28.46,34.3,24.5,78.98,6,5,5
2017-01-11,27.66,33.9,21.5,80.42,8,4.68,7
2017-01-12,28.25,33.4,24.1,73.91,0,4.23,7
2017-01-13,28.07,34,24.1,77.94,0,4.28,13
2017-01-14,28.1,32.4,23.9,76.8,0,4.11,12
2017-01-15,28.16,33.7,24.3,77.06,0,4.42,8
2017-01-16,28.01,33,23.6,75.17,0,4.78,13
2017-01-17,28.05,34.2,24,75.73,0,3.93,8
2017-01-18,26.96,34,22.1,79.57,14,4.41,15
2017-01-19,26.88,34.3,22.5,81.79,20,3.91,14
2017-01-20,26.48,31.4,23.1,84.29,2,4.45,10
2017-01-21,26.82,32,22.7,84.35,16,4.58,11
2017-01-22,26.75,31.4,23.6,83.4,10,5.71,7
2017-01-23,25.23,28.4,23.2,92.45,48,4.11,14
2017-01-24,24.23,25.9,22.9,93.67,10,4.52,16
2017-01-25,26.01,30.4,22.4,82.18,4,4.64,10
2017-01-26,27.29,32.3,23.4,80.19,2,4.99,8
2017-01-27,27.53,32,24.3,79.08,0,6.81,7
2017-01-28,26.4,30.3,23.5,80.94,2,5.57,7
2017-01-29,26.66,29.4,23.5,80.73,0,4.91,3
2017-01-30,26.3,30.3,23.4,85.01,4,4.8,11
2017-01-31,27.21,31.6,24.5,77.97,0,5.5,10
2017-02-01,27.36,32.3,23.5,75.71,0,4.87,7
2017-02-02,27.36,32.5,24,78.05,2,3.99,14
2017-02-03,27.65,34.7,23.4,78.48,10,4.88,7
2017-02-04,27.16,33.4,23.7,82.64,8,4.28,6
2017-02-05,27.58,33.9,23.3,79.73,2,4.77,6
2017-02-06,27.97,34.8,24.2,77.88,0,5.03,12
2017-02-07,26.63,31.5,23.2,83.77,8,4.55,6
2017-02-08,26.75,32.9,23.4,81.7,20,4.15,5
2017-02-09,27.73,32.6,23.2,71.35,0,4.49,7
2017-02-10,27.92,33.9,23.6,72.28,0,6.41,6
2017-02-11,27.57,32.6,24.3,73.77,0,7.74,9
2017-02-12,26.47,30.8,23.5,81.61,2,7.22,5
2017-02-13,26.68,30.7,23.5,81.81,2,7.3,9
2017-02-14,26.83,31.3,23.3,79.83,2,8.19,8
2017-02-15,25.82,30.7,22.5,82.34,6,6.67,15
2017-02-16,26.86,30.8,23.6,76.92,0,6.75,5
2017-02-17,27.42,32.7,23.6,75.39,0,6.29,8
2017-02-18,27.2,32.6,24.4,80.71,0,6.48,6
2017-02-19,27.84,32.9,24.7,78.1,0,6.44,4
2017-02-20,27.77,33,24,78.33,0,5.73,8
2017-02-21,27.37,33.1,23,81.07,6,4.62,9
2017-02-22,27.75,33.4,24.2,79.42,0,4.47,7
2017-02-23,27.15,33.2,23.1,81.12,8,3.8,8
2017-02-24,25.21,29.8,23.3,91.2,14,4.11,7
2017-02-25,26.84,34,23.1,82.16,4,3.95,4
2017-02-26,27.49,33.2,24.5,81.31,2,4.84,1
2017-02-27,27.55,32.1,23.9,79.15,0,5.68,7
2017-02-28,26.99,31.6,24.1,84.4,8,5.92,6
2017-03-01,25.29,28.8,22.9,88.85,20,4.63,13
2017-03-02,27.05,32.1,23.7,81.02,0,6.04,7
2017-03-03,26.39,30.4,22.7,86.23,12,5.61,8
2017-03-04,25.72,29,23.4,90.46,4,3.68,7
2017-03-05,27.1,32.4,23.7,81.83,4,4.85,7
2017-03-06,27.05,33.9,23.7,81.74,8,4.57,6
2017-03-07,27.26,33.6,23.4,79.18,2,4.17,13
2017-03-08,27.55,33.2,24.1,77.16,0,5.79,15
2017-03-09,27.48,33.1,23.7,74.83,0,6.27,8
2017-03-10,27.45,32.8,23.6,76.28,0,5.59,5
2017-03-11,27.65,33.4,23.6,78.18,6,4.94,12
2017-03-12,26.88,31.8,23.1,81.17,8,3.48,2
2017-03-13,28.12,35.4,24.2,79.79,2,4.09,5
2017-03-14,27.07,30.9,23.7,82.75,2,4.64,12
2017-03-15,28.85,36.1,24.1,71.97,0,3.85,6
2017-03-16,28.44,35.1,23.4,77,2,5.09,4
2017-03-17,27.33,33.8,24.1,81.29,6,3.58,5
2017-03-18,28.13,34.6,23.6,77.52,4,3.96,0
2017-03-19,28.29,34.5,23.9,76.84,2,3.75,3
2017-03-20,26.95,30.3,23.7,82.42,6,4.02,7
2017-03-21,28.24,35.2,23.8,74.92,2,4.47,6
2017-03-22,27.87,34.1,23.2,79.45,6,4.51,5
2017-03-23,28.85,35.5,24.4,75.46,0,4.74,5
2017-03-24,28.47,33.4,24.8,76.09,0,4.5,4
2017-03-25,27.95,34.4,23.5,79.32,12,3.99,2
2017-03-26,28.94,35.3,24.8,76.84,0,4.49,6
2017-03-27,28.86,33.6,24.4,77.25,0,4.29,5
2017-03-28,27.03,30,23.7,85.86,2,3.67,7
2017-03-29,27.21,33.7,22.1,83.04,6,3.22,3
2017-03-30,25.99,31.2,23.3,87.27,8,3.55,9
2017-03-31,27.41,33.4,23.9,82.8,4,3.04,10
2017-04-01,27.02,32.5,23.7,85.36,4,3.35,12
2017-04-02,27.61,33.3,23.8,81.22,0,4.54,6
2017-04-03,27.56,31.9,23.3,82.49,6,3.93,7
2017-04-04,28.41,34.4,23.3,77.56,4,4.89,4
2017-04-05,28.86,33.9,23,73.64,0,5.66,8
2017-04-06,29.04,34.6,25,74.96,2,4.17,6
2017-04-07,28.07,34.9,22.3,77.87,12,4.53,11
2017-04-08,27.16,30.3,23.8,83.89,2,3.23,9
2017-04-09,28.01,34.7,24.5,81.25,2,3.2,10
2017-04-10,27.67,32.8,24,84.79,2,3.45,15
2017-04-11,28.9,34.1,25.1,78.25,2,4.05,5
2017-04-12,28.22,32.9,23.1,82.28,10,3.51,5
2017-04-13,27.17,31,23.3,86.52,8,3.55,4
2017-04-14,27.47,33.1,23.8,84.96,10,3.39,2
2017-04-15,27.95,33.7,23.8,80.57,6,3.9,5
2017-04-16,28.35,34.5,24.3,79.42,2,3.2,1
2017-04-17,28.77,34.8,22.7,79.09,8,3.72,9
2017-04-18,27.13,35.2,22.3,85.61,22,3.21,10
2017-04-19,27.98,35.4,23.3,78.33,0,3,8
2017-04-20,27.97,33.6,24.1,82.66,6,3.19,8
2017-04-21,27.78,33,22.9,82.19,18,4.34,7
2017-04-22,28.39,31.8,24.7,80.45,4,4.06,8
2017-04-23,28.46,32.8,25.1,82.89,2,3.41,5
2017-04-24,27.68,33.2,23.7,86.13,8,3.37,2
2017-04-25,27.16,34.1,23.4,88.28,6,3.8,7
2017-04-26,27.42,31.8,24.3,84.97,0,5.3,8
2017-04-27,27.89,34.6,23.4,83.01,18,6.89,5
2017-04-28,27.68,32.9,22.8,80.68,10,5.94,3
2017-04-29,28.02,31.3,24.4,83,0,4.4,8
2017-04-30,28.83,34.9,24.9,79.19,2,5.4,3
2017-05-01,29.07,33.7,25.3,78.4,0,4.74,6
2017-05-02,28.08,31.6,24.6,82.98,6,4.58,8
2017-05-03,29.08,33.4,25.3,78.61,0,5.09,1
2017-05-04,28.74,32.8,23.5,81.23,6,4.86,5
2017-05-05,28.51,32.6,24.1,81.34,2,5.1,9
2017-05-06,28.4,33.6,23.5,80.01,4,5.11,14
2017-05-07,28.08,32.8,23.7,81.57,4,5.21,7
2017-05-08,28.58,33.4,24.8,78.65,0,6.13,8
2017-05-09,29.39,33.8,24.9,78.46,2,6.45,9
2017-05-10,27.37,30.7,23.9,88.48,6,4.49,6
2017-05-11,28.19,32.6,24.3,80.1,0,6.39,1
2017-05-12,28.38,32,24.7,82.38,10,5.75,6
2017-05-13,28.71,33.2,24.6,82.23,2,4.89,5
2017-05-14,29.27,33.2,24.6,80.31,0,6.01,4
2017-05-15,28.31,32.7,24.8,86.37,8,5.91,6
2017-05-16,28.92,33.4,25.2,80.84,2,6.62,6
2017-05-17,30.01,34.8,26,77.67,0,7.38,14
2017-05-18,29.55,34,25.1,80.14,2,7.44,3
2017-05-19,29.38,33.1,25.8,78.93,0,6.39,14
2017-05-20,29.74,34.1,26.6,77.99,0,5.98,4
2017-05-21,28.36,33.5,24.1,84.7,10,5.98,4
2017-05-22,28.34,32.9,22.2,84.14,18,6.49,12
2017-05-23,29.71,34,26.8,77.53,0,6.93,6
2017-05-24,26.74,30.3,23.2,90.76,26,5.61,4
2017-05-25,28.29,33.3,24.9,84.98,0,5.31,15
2017-05-26,27.41,33.2,23.4,89.32,14,6.24,5
2017-05-27,28.26,34,24.7,87.08,0,4.37,5
