date,mean_temp,max_temp,min_temp,humidity,mean_rain_fall,mean_wind
16/12/2016,28.69,34.3,24.7,75.55,0,4.16
17/12/2016,27.34,31.9,23.4,83.67,8,4.51
18/12/2016,26.86,32.6,22.7,81.61,12,4.66
19/12/2016,28.08,33.4,24.2,77.74,2,5.63
20/12/2016,28.25,34.1,24.4,73.51,0,6.48
21/12/2016,28.66,34.9,24.4,71.77,0,5.53
22/12/2016,26.94,33.4,22.7,83.33,16,4.08
23/12/2016,27.2,32.5,22.8,83.13,18,3.97
24/12/2016,26.79,33.6,23.2,84.95,24,4.72
25/12/2016,26.97,33.8,23,82.93,10,5.03
26/12/2016,26.91,31.9,23.7,80.91,0,5.31
27/12/2016,26.44,30.9,23.9,82.6,4,5.23
28/12/2016,25.77,28.7,23.1,84.09,2,5.27
29/12/2016,27.67,32.5,23.9,74.54,0,4.71
30/12/2016,27.13,35,23.9,78.16,4,5.36
31/12/2016,26.92,31.1,23.9,81.75,0,4.14
1/1/2017,27.17,32.4,23.8,84.79,10,4.82
2/1/2017,26.54,31.4,24,88.48,8,3.69
3/1/2017,26.77,31.4,24.1,85.7,2,4.06
4/1/2017,27.11,31.8,23.3,79.48,2,4.75
5/1/2017,28.01,33.7,23,72.92,2,4.29
6/1/2017,28.68,34.5,24.9,75.67,0,3.97
7/1/2017,29.48,35.2,25.1,71.86,0,4.04
8/1/2017,29.5,35.6,25,72.67,0,4.18
9/1/2017,28.97,35.5,25.4,77.31,0,5.08
10/1/2017,28.46,34.3,24.5,78.98,6,5
11/1/2017,27.66,33.9,21.5,80.42,8,4.68
12/1/2017,28.25,33.4,24.1,73.91,0,4.23
13/1/2017,28.07,34,24.1,77.94,0,4.28
14/1/2017,28.1,32.4,23.9,76.8,0,4.11
15/1/2017,28.16,33.7,24.3,77.06,0,4.42
16/1/2017,28.01,33,23.6,75.17,0,4.78
17/1/2017,28.05,34.2,24,75.73,0,3.93
18/1/2017,26.96,34,22.1,79.57,14,4.41
19/1/2017,26.88,34.3,22.5,81.79,20,3.91
20/1/2017,26.48,31.4,23.1,84.29,2,4.45
21/1/2017,26.82,32,22.7,84.35,16,4.58
22/1/2017,26.75,31.4,23.6,83.4,10,5.71
23/1/2017,25.23,28.4,23.2,92.45,48,4.11
24/1/2017,24.23,25.9,22.9,93.67,10,4.52
25/1/2017,26.01,30.4,22.4,82.18,4,4.64
26/1/2017,27.29,32.3,23.4,80.19,2,4.99
27/1/2017,27.53,32,24.3,79.08,0,6.81
28/1/2017,26.4,30.3,23.5,80.94,2,5.57
29/1/2017,26.66,29.4,23.5,80.73,0,4.91
30/1/2017,26.3,30.3,23.4,85.01,4,4.8
31/1/2017,27.21,31.6,24.5,77.97,0,5.5
1/2/2017,27.36,32.3,23.5,75.71,0,4.87
2/2/2017,27.36,32.5,24,78.05,2,3.99
3/2/2017,27.65,34.7,23.4,78.48,10,4.88
4/2/2017,27.16,33.4,23.7,82.64,8,4.28
5/2/2017,27.58,33.9,23.3,79.73,2,4.77
6/2/2017,27.97,34.8,24.2,77.88,0,5.03
7/2/2017,26.63,31.5,23.2,83.77,8,4.55
8/2/2017,26.75,32.9,23.4,81.7,20,4.15
9/2/2017,27.73,32.6,23.2,71.35,0,4.49
10/2/2017,27.92,33.9,23.6,72.28,0,6.41
11/2/2017,27.57,32.6,24.3,73.77,0,7.74
12/2/2017,26.47,30.8,23.5,81.61,2,7.22
13/2/2017,26.68,30.7,23.5,81.81,2,7.3
14/2/2017,26.83,31.3,23.3,79.83,2,8.19
15/2/2017,25.82,30.7,22.5,82.34,6,6.67
16/2/2017,26.86,30.8,23.6,76.92,0,6.75
17/2/2017,27.42,32.7,23.6,75.39,0,6.29
18/2/2017,27.2,32.6,24.4,80.71,0,6.48
19/2/2017,27.84,32.9,24.7,78.1,0,6.44
20/2/2017,27.77,33,24,78.33,0,5.73
21/2/2017,27.37,33.1,23,81.07,6,4.62
22/2/2017,27.75,33.4,24.2,79.42,0,4.47
23/2/2017,27.15,33.2,23.1,81.12,8,3.8
24/2/2017,25.21,29.8,23.3,91.2,14,4.11
25/2/2017,26.84,34,23.1,82.16,4,3.95
26/2/2017,27.49,33.2,24.5,81.31,2,4.84
27/2/2017,27.55,32.1,23.9,79.15,0,5.68
28/2/2017,26.99,31.6,24.1,84.4,8,5.92
1/3/2017,25.29,28.8,22.9,88.85,20,4.63
2/3/2017,27.05,32.1,23.7,81.02,0,6.04
3/3/2017,26.39,30.4,22.7,86.23,12,5.61
4/3/2017,25.72,29,23.4,90.46,4,3.68
5/3/2017,27.1,32.4,23.7,81.83,4,4.85
6/3/2017,27.05,33.9,23.7,81.74,8,4.57
7/3/2017,27.26,33.6,23.4,79.18,2,4.17
8/3/2017,27.55,33.2,24.1,77.16,0,5.79
9/3/2017,27.48,33.1,23.7,74.83,0,6.27
10/3/2017,27.45,32.8,23.6,76.28,0,5.59
11/3/2017,27.65,33.4,23.6,78.18,6,4.94
12/3/2017,26.88,31.8,23.1,81.17,8,3.48
13/3/2017,28.12,35.4,24.2,79.79,2,4.09
14/3/2017,27.07,30.9,23.7,82.75,2,4.64
15/3/2017,28.85,36.1,24.1,71.97,0,3.85
16/3/2017,28.44,35.1,23.4,77,2,5.09
17/3/2017,27.33,33.8,24.1,81.29,6,3.58
18/3/2017,28.13,34.6,23.6,77.52,4,3.96
19/3/2017,28.29,34.5,23.9,76.84,2,3.75
20/3/2017,26.95,30.3,23.7,82.42,6,4.02
21/3/2017,28.24,35.2,23.8,74.92,2,4.47
22/3/2017,27.87,34.1,23.2,79.45,6,4.51
23/3/2017,28.85,35.5,24.4,75.46,0,4.74
24/3/2017,28.47,33.4,24.8,76.09,0,4.5
25/3/2017,27.95,34.4,23.5,79.32,12,3.99
26/3/2017,28.94,35.3,24.8,76.84,0,4.49
27/3/2017,28.86,33.6,24.4,77.25,0,4.29
28/3/2017,27.03,30,23.7,85.86,2,3.67
29/3/2017,27.21,33.7,22.1,83.04,6,3.22
30/3/2017,25.99,31.2,23.3,87.27,8,3.55
31/3/2017,27.41,33.4,23.9,82.8,4,3.04
1/4/2017,27.02,32.5,23.7,85.36,4,3.35
2/4/2017,27.61,33.3,23.8,81.22,0,4.54
3/4/2017,27.56,31.9,23.3,82.49,6,3.93
4/4/2017,28.41,34.4,23.3,77.56,4,4.89
5/4/2017,28.86,33.9,23,73.64,0,5.66
6/4/2017,29.04,34.6,25,74.96,2,4.17
7/4/2017,28.07,34.9,22.3,77.87,12,4.53
8/4/2017,27.16,30.3,23.8,83.89,2,3.23
9/4/2017,28.01,34.7,24.5,81.25,2,3.2
10/4/2017,27.67,32.8,24,84.79,2,3.45
11/4/2017,28.9,34.1,25.1,78.25,2,4.05
12/4/2017,28.22,32.9,23.1,82.28,10,3.51
13/4/2017,27.17,31,23.3,86.52,8,3.55
14/4/2017,27.47,33.1,23.8,84.96,10,3.39
15/4/2017,27.95,33.7,23.8,80.57,6,3.9
16/4/2017,28.35,34.5,24.3,79.42,2,3.2
17/4/2017,28.77,34.8,22.7,79.09,8,3.72
18/4/2017,27.13,35.2,22.3,85.61,22,3.21
19/4/2017,27.98,35.4,23.3,78.33,0,3
20/4/2017,27.97,33.6,24.1,82.66,6,3.19
21/4/2017,27.78,33,22.9,82.19,18,4.34
22/4/2017,28.39,31.8,24.7,80.45,4,4.06
23/4/2017,28.46,32.8,25.1,82.89,2,3.41
24/4/2017,27.68,33.2,23.7,86.13,8,3.37
25/4/2017,27.16,34.1,23.4,88.28,6,3.8
26/4/2017,27.42,31.8,24.3,84.97,0,5.3
27/4/2017,27.89,34.6,23.4,83.01,18,6.89
28/4/2017,27.68,32.9,22.8,80.68,10,5.94
29/4/2017,28.02,31.3,24.4,83,0,4.4
30/4/2017,28.83,34.9,24.9,79.19,2,5.4
1/5/2017,29.07,33.7,25.3,78.4,0,4.74
2/5/2017,28.08,31.6,24.6,82.98,6,4.58
3/5/2017,29.08,33.4,25.3,78.61,0,5.09
4/5/2017,28.74,32.8,23.5,81.23,6,4.86
5/5/2017,28.51,32.6,24.1,81.34,2,5.1
6/5/2017,28.4,33.6,23.5,80.01,4,5.11
7/5/2017,28.08,32.8,23.7,81.57,4,5.21
8/5/2017,28.58,33.4,24.8,78.65,0,6.13
9/5/2017,29.39,33.8,24.9,78.46,2,6.45
10/5/2017,27.37,30.7,23.9,88.48,6,4.49
11/5/2017,28.19,32.6,24.3,80.1,0,6.39
12/5/2017,28.38,32,24.7,82.38,10,5.75
13/5/2017,28.71,33.2,24.6,82.23,2,4.89
14/5/2017,29.27,33.2,24.6,80.31,0,6.01
15/5/2017,28.31,32.7,24.8,86.37,8,5.91
16/5/2017,28.92,33.4,25.2,80.84,2,6.62
17/5/2017,30.01,34.8,26,77.67,0,7.38
18/5/2017,29.55,34,25.1,80.14,2,7.44
19/5/2017,29.38,33.1,25.8,78.93,0,6.39
20/5/2017,29.74,34.1,26.6,77.99,0,5.98
21/5/2017,28.36,33.5,24.1,84.7,10,5.98
22/5/2017,28.34,32.9,22.2,84.14,18,6.49
23/5/2017,29.71,34,26.8,77.53,0,6.93
24/5/2017,26.74,30.3,23.2,90.76,26,5.61
25/5/2017,28.29,33.3,24.9,84.98,0,5.31
26/5/2017,27.41,33.2,23.4,89.32,14,6.24
27/5/2017,28.26,34,24.7,87.08,0,4.37
28/5/2017,29.02,32.8,25.9,82.63,0,6.06
29/5/2017,29.35,33.8,25.3,81.05,0,6.57
30/5/2017,26.84,30.7,22.9,87.61,18,5.49
31/5/2017,28.65,35.9,23,76.26,30,6.81
1/6/2017,28.08,33,23.9,78.27,4,5.95
2/6/2017,29.31,33.7,25.7,75.98,0,6.05
3/6/2017,29.94,34.6,26.2,74.77,0,6.67
4/6/2017,30.22,34.5,26.8,76.83,0,7.16
5/6/2017,30.16,34.2,26.5,77.77,0,6.38
6/6/2017,29.87,34.1,26.3,77.28,0,6.24
7/6/2017,29.89,35.4,25.7,76.06,0,6.24
8/6/2017,29.68,34.9,25.4,78.41,2,6.64
9/6/2017,30.03,34.4,26.1,75.86,0,6.84
10/6/2017,28.97,34.5,23.4,79.91,8,6.58
11/6/2017,28.28,32.9,24.4,80.04,0,6.38
12/6/2017,29.54,34,26.4,73.67,0,5.83
13/6/2017,29.52,34.7,25.1,77.98,0,6.39
14/6/2017,27.93,32.8,23.2,78.06,16,6.05
15/6/2017,29.21,35.7,25.6,75.44,0,4.96
16/6/2017,28.66,34.3,24.7,79.62,4,5.13
17/6/2017,29.31,35.2,25.4,76.04,0,5.52
18/6/2017,27.27,31.5,23,86.22,22,6.99
19/6/2017,28.16,32.2,24.1,78.87,0,7.04
20/6/2017,29.21,33.7,24.6,73.98,0,4.91
21/6/2017,28.69,32.4,23,80.88,4,5.29
22/6/2017,29.04,32.3,25.5,80.03,0,4.96
23/6/2017,27.03,30.5,22.2,83.18,6,7.02
24/6/2017,28.57,32.8,24.3,73.14,0,5.21
25/6/2017,27.57,30.9,23.5,83.63,10,4.49
26/6/2017,28.08,33.8,23.7,79.43,2,5.14
27/6/2017,26.58,29.2,24.1,84.9,2,4.03
28/6/2017,27.55,33.5,22.9,83.48,10,4.38
29/6/2017,27.4,31.4,23.2,83.9,4,5.11
30/6/2017,28.7,33.8,24.2,76.16,0,6.37
1/7/2017,29.46,34,25.5,74.04,0,6.39
2/7/2017,28.82,34.2,24.7,79.78,0,5.38
3/7/2017,27.24,30.7,23.7,83.36,2,6.96
4/7/2017,28.48,32.9,23.7,76.72,0,5.86
5/7/2017,27.45,33.1,23,84.73,20,5.19
6/7/2017,28.06,32.2,24.4,80.05,0,6.65
7/7/2017,28.83,32.5,24.2,73.2,0,6.84
8/7/2017,28.23,33.1,23.9,78.92,4,6.26
9/7/2017,27.83,31.3,24.4,82.81,0,6.64
10/7/2017,29.13,33.9,24.4,73.53,4.38,5.34
11/7/2017,27.9,31,23.7,79.94,8,6.64
12/7/2017,26.39,29.1,22.3,87.31,4.38,6.69
13/7/2017,27.56,32.2,23.5,82.96,4.38,5.91
14/7/2017,26.35,29.4,22.7,89.3,28,4.53
15/7/2017,27.39,32.2,22.4,82.71,4,6.55
16/7/2017,28.56,32.4,25.9,76.69,0,10.47
17/7/2017,28.93,33.1,24.7,71.81,0,8.46
18/7/2017,28.71,32.5,24.6,76.98,0,7.77
19/7/2017,28.57,32.7,24.9,76.41,0,6.72
20/7/2017,28.6,32.6,25,79.89,0,6.19
21/7/2017,28.82,34.1,25.6,80.98,0,6.33
22/7/2017,29.59,34.2,26.5,75.2,0,7.44
23/7/2017,29.41,34.4,25.5,77.18,0,7.14
24/7/2017,29.28,33.2,25.7,76.17,0,8
25/7/2017,29.33,34,25.7,75.99,0,8.16
26/7/2017,28.68,31.4,24.4,79.62,2,7.82
27/7/2017,29.25,33.3,25,73.52,0,8.42
