date,mean_temp,max_temp,min_temp,humidity,mean_rain_fall,mean_wind,MA5_mean_temp,MA5_max_temp,MA5_min_temp,MA5_humidity,MA5_mean_rain_fall,MA5_mean_wind,MA10_mean_temp,MA10_max_temp,MA10_min_temp,MA10_humidity,MA10_mean_rain_fall,MA10_mean_wind,MA15_mean_temp,MA15_max_temp,MA15_min_temp,MA15_humidity,MA15_mean_rain_fall,MA15_mean_wind,MA20_mean_temp,MA20_max_temp,MA20_min_temp,MA20_humidity,MA20_mean_rain_fall,MA20_mean_wind,LA5_mean_temp,LA5_max_temp,LA5_min_temp,LA5_humidity,LA5_mean_rain_fall,LA5_mean_wind,LA8_mean_temp,LA8_max_temp,LA8_min_temp,LA8_humidity,LA8_mean_rain_fall,LA8_mean_wind,LA12_mean_temp,LA12_max_temp,LA12_min_temp,LA12_humidity,LA12_mean_rain_fall,LA12_mean_wind,LA15_mean_temp,LA15_max_temp,LA15_min_temp,LA15_humidity,LA15_mean_rain_fall,LA15_mean_wind,ln_cases
2016-12-16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,28.69,34.3,24.7,75.55,0,4.16,2.3
2016-12-17,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,27.34,31.9,23.4,83.67,8,4.51,2.3
2016-12-18,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,26.86,32.6,22.7,81.61,12,4.66,2.48
2016-12-19,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,28.08,33.4,24.2,77.74,2,5.63,2.08
2016-12-20,28.25,34.1,24.4,73.51,0,6.48,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,27.84,33.26,23.88,78.42,4.4,5.09,2.77
2016-12-21,28.66,34.9,24.4,71.77,0,5.53,27.84,33.38,23.82,77.66,4.4,5.36,27.84,33.38,23.82,77.66,4.4,5.36,27.84,33.38,23.82,77.66,4.4,5.36,27.84,33.38,23.82,77.66,4.4,5.36,28.69,34.3,24.7,75.55,0,4.16,27.84,33.38,23.82,77.66,4.4,5.36,27.84,33.38,23.82,77.66,4.4,5.36,27.84,33.38,23.82,77.66,4.4,5.36,2.48
2016-12-22,26.94,33.4,22.7,83.33,16,4.08,27.76,33.68,23.68,77.59,6,5.28,27.76,33.68,23.68,77.59,6,5.28,27.76,33.68,23.68,77.59,6,5.28,27.76,33.68,23.68,77.59,6,5.28,27.34,31.9,23.4,83.67,8,4.51,27.76,33.68,23.68,77.59,6,5.28,27.76,33.68,23.68,77.59,6,5.28,27.76,33.68,23.68,77.59,6,5.28,2.56
2016-12-23,27.2,32.5,22.8,83.13,18,3.97,27.83,33.66,23.7,77.9,7.2,5.14,27.83,33.66,23.7,77.9,7.2,5.14,27.83,33.66,23.7,77.9,7.2,5.14,27.83,33.66,23.7,77.9,7.2,5.14,26.86,32.6,22.7,81.61,12,4.66,27.83,33.66,23.7,77.9,7.2,5.14,27.83,33.66,23.7,77.9,7.2,5.14,27.83,33.66,23.7,77.9,7.2,5.14,2.48
2016-12-24,26.79,33.6,23.2,84.95,24,4.72,27.57,33.7,23.5,79.34,11.6,4.96,27.57,33.7,23.5,79.34,11.6,4.96,27.57,33.7,23.5,79.34,11.6,4.96,27.57,33.7,23.5,79.34,11.6,4.96,28.08,33.4,24.2,77.74,2,5.63,28.69,34.3,24.7,75.55,0,4.16,27.57,33.7,23.5,79.34,11.6,4.96,27.57,33.7,23.5,79.34,11.6,4.96,2.48
2016-12-25,26.97,33.8,23,82.93,10,5.03,27.31,33.64,23.22,81.22,13.6,4.67,27.58,33.45,23.55,79.82,9,4.88,27.58,33.45,23.55,79.82,9,4.88,27.58,33.45,23.55,79.82,9,4.88,28.25,34.1,24.4,73.51,0,6.48,27.34,31.9,23.4,83.67,8,4.51,27.58,33.45,23.55,79.82,9,4.88,27.58,33.45,23.55,79.82,9,4.88,1.79
